Nom_del_llibre,Autor,Any_edició,Idioma,Gènere
Sueño de navidad,Charles Dickens,2002,Castellano,
TEMPS ERA TEMPS,Josep M. Morreres,2006,Català,
Tempus fugit Ladrones de almas,Javier Ruescas,2014,Castellano,Mundo distópico
Terres verges,Enric Larreula,1996,Català,
Tierra Firme,Matilde Asensi,2008,Castellano,Ficción
TODOS LOS HÉROES HAN MUERTO (2),Blanca Álvarez,2015,Castellano,
Tom Sawyer,Mark Twain,2020,Castellano,Realista. Clàssica
Traición La saga de Dhamon Volumen 2,Jean Rabe,2003,Castellano,Ficció. Acció
Un amic a Sud-àfrica,Lynne Fairbridge,1998,Català,Amistat. Racisme
Un grito de libertad,Mª Isabel Molina,2009,Castellano,
Un haike per a l'Alícia,Francesc,2002,Català,
Un pingüí damunt del televisor,Rodolfo del hoyo,2010,Català,
Un submarí a les estovalles,Joan Barril,1988,Català,
Una [Estupenda] historia de dragones y princesas [...más o menos],Jordi Sierra i Fabra,2011,Castellano,Realista. Adolescents
Una altre guerra per a Ney,Jordi Mata,2002,Català,Novel·la realista
Una fuga i una mentida,Tim Wynne-Jones,1995,Català,Aventura
Una història de futbol,José Roberto Torero,2017,Català,Ficción
Veinte poemas de amor y una canción desesperada,Pablo Neruda,1983,Castellano,Poesía
Vides,Cecília Alcatraz i Bonaventura Clotet,2004,Català,
"Xala, va! Càsting d'estrelles",Anna Fité,2016,Català,
Xènia tens un whatsApp,Gemma pasqual i Escrivà,2015,Català,
Zigzaz,Jordi Sierra i Fabra,2014,Castellano,Generr negropere kamil,umeraah,2010,urdu,religion
trhyrt,yhrtyhr,6656,hfghfg,fhgfgh
ghfgh,hfgh,5464,bnvn,ghnfg
gdfgfd,hgdfg,665,gfdgd,gdfg
ththy,tyhy,4243,fhftgh,thyrftju
gdgdf,gdfh,65456,hfghfgh,fhfgh
rgdrg,fgdfg,645,ghdf,dfghd
gdfh,hdfh,6456,fdhgd,hfgh
rdgydfgh,hfghfg,5,fdhgdfhg,fhgdfg
tyhrtyh,tyhtrfyh,23123,hfghf,htfh
gdfhgf,hgfhfgh,65456,ghbcfgnh,ghfgjhn
trtgrd,gdfg,56456,fgdh,dfhgdh
hfghf,hfhhf,2010,fghfgh,ghgj
tyrty,tyrty,5353,gdfh,hfhf
fdggfdg,ggdfg,34234,gdfgdf,gdgd
gdgd,fgdfg,6456,gdfgd,hdh
